Sample,Organ,Histo,Bulk_phenotype,Site,Original_ID,Project_ID
PD53943ac_lo0180,HEAD PD53943ac_B1-C2-S3,Cartilage,Head,Head,Head,3137
PD53943ac_lo0184,HEAD PD53943ac_B1-C2-S3,Adnexal structures,Head,Head,Head,3137
PD53943ac_lo0193,HEAD PD53943ac_B1-C2-S2,Cartilage,Head,Head,Head,3137
PD53943ac_lo0194,HEAD PD53943ac_B1-C2-S2,Cartilage,Head,Head,Head,3137
PD53943ac_lo0195,HEAD PD53943ac_B1-C2-S2,Adnexal structures,Head,Head,Head,3137
PD53943ac_lo0196,HEAD PD53943ac_B1-C2-S2,Adnexal structures,Head,Head,Head,3137
PD53943ac_lo0200,HEAD PD53943ac_B1-C2-S2,Adnexal structures,Head,Head,Head,3137
PD53943ac_lo0210,HEAD PD53943ac_B1-C2-S2,Respiratory epitheilum,Head,Head,Head,3137
PD53943ac_lo0215,HEAD PD53943ac_B1-C2-S2,Respiratory epitheilum,Head,Head,Head,3137
PD53943ac_lo0216,HEAD PD53943ac_B1-C2-S2,Respiratory epitheilum,Head,Head,Head,3137
PD53943ac_lo0224,HEAD PD53943ac_B1-C2-S2,Squamous epithelium,Head,Head,Head,3137
PD53943ac_lo0235,HEAD PD53943ac_B1-C2-S2,Epidermis,Head,Head,Head,3137
PD53943ac_lo0236,HEAD PD53943ac_B1-C2-S2,Epidermis,Head,Head,Head,3137
PD53943ac_lo0240,HEAD PD53943ac_B1-C2-S2,Epidermis,Head,Head,Head,3137
PD53943ac_lo0002,Head,Retinal pigmented epithelium,Head,Head,Head,2855
PD53943ac_lo0006,Head,Retinal pigmented epithelium,Head,Head,Head,2855
PD53943ac_lo0008,Head,Retinal pigmented epithelium,Head,Head,Head,2855
PD53943ac_lo0009,Head,Retinal pigmented epithelium,Head,Head,Head,2855
PD53943ac_lo0163,TBD PD53943ac B3-C2-S3,Paraganglion,Head,Head,Head,3137
PD53943ac_lo0054,Head,Cartilage,Head,Head,Head,2855
PD53943ac_lo0082,Head,Respiratory epitheilum,Head,Head,Head,2855
PD53943ac_lo0088,Head,Respiratory epitheilum,Head,Head,Head,2855
PD53943ac_lo0100,Head,Cartilage,Head,Head,Head,2855
PD53943ac_lo0117,Head,Ganglion,Head,Head,Head,2855
PD53943ac_lo0001,Head,Retinal pigmented epithelium,Head,Head,Head,2855
PD53943ac_lo0010,Head,Retinal pigmented epithelium,Head,Head,Head,2855
PD53943ad_lo0082,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0083,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0072,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0073,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0074,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0054,LEG PD53943ad_B1-C2-S2,Skeletal muscle,Leg,Right,leg right,3137
PD53943ad_lo0076,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0078,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0079,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0080,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0081,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0002,Right_leg,Skeletal muscle,Leg,Right,leg right,2855
PD53943ad_lo0007,Right_leg,Cartilage,Leg,Right,leg right,2855
PD53943ad_lo0084,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0085,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0086,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0075,LEG PD53943ad_B1-C2-S3,Cartilage,Leg,Right,leg right,3137
PD53943ad_lo0016,Right_leg,Epidermis,Leg,Right,leg right,2855
PD53943ad_lo0117,Leg PD53943ad B1-C2-S2,Skeletal muscle ,Leg,Right,leg right,3254
PD53943ad_lo0015,Right_leg,Epidermis,Leg,Right,leg right,2855
PD53943ae_lo0055,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0056,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0016,Left_leg,Epidermis,Leg,Left,leg left,2855
PD53943ae_lo0054,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
PD53943ae_lo0073,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0015,Left_leg,Epidermis,Leg,Left,leg left,2855
PD53943ae_lo0014,Left_leg,Epidermis,Leg,Left,leg left,2855
PD53943ae_lo0070,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0071,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0074,LEG PD53943ae B1-C2-S3,Cartilage,Leg,Left,leg left,3152
PD53943ae_lo0036,LEG PD53943ae B1-C2-S3,Skeletal muscle,Leg,Left,leg left,3152
